Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
159,8855,00:06:14.505,374.505,9043,00:06:22.500,382.500,189,00:00:07.994,7.994
160,9044,00:06:22.500,382.500,9183,00:06:28.421,388.421,140,00:00:05.922,5.922
161,9184,00:06:28.421,388.421,9216,00:06:29.817,389.817,33,00:00:01.396,1.396
162,9217,00:06:29.817,389.817,9226,00:06:30.240,390.240,10,00:00:00.423,0.423
163,9227,00:06:30.240,390.240,9325,00:06:34.428,394.428,99,00:00:04.187,4.187
164,9326,00:06:34.428,394.428,9347,00:06:35.358,395.358,22,00:00:00.931,0.931
165,9348,00:06:35.358,395.358,9564,00:06:44.537,404.537,217,00:00:09.179,9.179
166,9565,00:06:44.537,404.537,9692,00:06:49.951,409.951,128,00:00:05.414,5.414
167,9693,00:06:49.951,409.951,9714,00:06:50.882,410.882,22,00:00:00.931,0.931
168,9715,00:06:50.882,410.882,9722,00:06:51.220,411.220,8,00:00:00.338,0.338
169,9723,00:06:51.220,411.220,9756,00:06:52.658,412.658,34,00:00:01.438,1.438
170,9757,00:06:52.658,412.658,9851,00:06:56.676,416.676,95,00:00:04.018,4.018
171,9852,00:06:56.676,416.676,9913,00:06:59.299,419.299,62,00:00:02.622,2.622
172,9914,00:06:59.299,419.299,10189,00:07:10.973,430.973,276,00:00:11.674,11.674
173,10190,00:07:10.973,430.973,10207,00:07:11.734,431.734,18,00:00:00.761,0.761
174,10208,00:07:11.734,431.734,10282,00:07:14.907,434.907,75,00:00:03.172,3.172
175,10283,00:07:14.907,434.907,10394,00:07:19.644,439.644,112,00:00:04.737,4.737
176,10395,00:07:19.644,439.644,10486,00:07:23.535,443.535,92,00:00:03.891,3.891
177,10487,00:07:23.535,443.535,10526,00:07:25.227,445.227,40,00:00:01.692,1.692
178,10527,00:07:25.227,445.227,10532,00:07:25.481,445.481,6,00:00:00.254,0.254
179,10533,00:07:25.481,445.481,10538,00:07:25.735,445.735,6,00:00:00.254,0.254
180,10539,00:07:25.735,445.735,10544,00:07:25.989,445.989,6,00:00:00.254,0.254
181,10545,00:07:25.989,445.989,10586,00:07:27.765,447.765,42,00:00:01.777,1.777
182,10587,00:07:27.765,447.765,10596,00:07:28.188,448.188,10,00:00:00.423,0.423
183,10597,00:07:28.188,448.188,10626,00:07:29.457,449.457,30,00:00:01.269,1.269
184,10627,00:07:29.457,449.457,10696,00:07:32.418,452.418,70,00:00:02.961,2.961
185,10697,00:07:32.418,452.418,11016,00:07:45.953,465.953,320,00:00:13.535,13.535
186,11017,00:07:45.953,465.953,11251,00:07:55.893,475.893,235,00:00:09.940,9.940
187,11252,00:07:55.893,475.893,11410,00:08:02.619,482.619,159,00:00:06.725,6.725
188,11411,00:08:02.619,482.619,11417,00:08:02.915,482.915,7,00:00:00.296,0.296
189,11418,00:08:02.915,482.915,11497,00:08:06.299,486.299,80,00:00:03.384,3.384
190,11498,00:08:06.299,486.299,11659,00:08:13.151,493.151,162,00:00:06.852,6.852
191,11660,00:08:13.151,493.151,11749,00:08:16.958,496.958,90,00:00:03.807,3.807
192,11750,00:08:16.958,496.958,11791,00:08:18.734,498.734,42,00:00:01.777,1.777
193,11792,00:08:18.734,498.734,11799,00:08:19.073,499.073,8,00:00:00.338,0.338
194,11800,00:08:19.073,499.073,11840,00:08:20.807,500.807,41,00:00:01.734,1.734
195,11841,00:08:20.807,500.807,11876,00:08:22.330,502.330,36,00:00:01.523,1.523
196,11877,00:08:22.330,502.330,11956,00:08:25.713,505.713,80,00:00:03.384,3.384
197,11957,00:08:25.713,505.713,11963,00:08:26.009,506.009,7,00:00:00.296,0.296
198,11964,00:08:26.009,506.009,11969,00:08:26.263,506.263,6,00:00:00.254,0.254
199,11970,00:08:26.263,506.263,11975,00:08:26.517,506.517,6,00:00:00.254,0.254
200,11976,00:08:26.517,506.517,11981,00:08:26.771,506.771,6,00:00:00.254,0.254
201,11982,00:08:26.771,506.771,12009,00:08:27.955,507.955,28,00:00:01.184,1.184
202,12010,00:08:27.955,507.955,12167,00:08:34.638,514.638,158,00:00:06.683,6.683
203,12168,00:08:34.638,514.638,12450,00:08:46.608,526.608,283,00:00:11.970,11.970
204,12451,00:08:46.608,526.608,12496,00:08:48.554,528.554,46,00:00:01.946,1.946
205,12497,00:08:48.554,528.554,12566,00:08:51.515,531.515,70,00:00:02.961,2.961
206,12567,00:08:51.515,531.515,12573,00:08:51.811,531.811,7,00:00:00.296,0.296
207,12574,00:08:51.811,531.811,12579,00:08:52.065,532.065,6,00:00:00.254,0.254
208,12580,00:08:52.065,532.065,12612,00:08:53.461,533.461,33,00:00:01.396,1.396
209,12613,00:08:53.461,533.461,12666,00:08:55.745,535.745,54,00:00:02.284,2.284
210,12667,00:08:55.745,535.745,12935,00:09:07.123,547.123,269,00:00:11.378,11.378
211,12936,00:09:07.123,547.123,13121,00:09:14.990,554.990,186,00:00:07.867,7.867
212,13122,00:09:14.990,554.990,13144,00:09:15.963,555.963,23,00:00:00.973,0.973
213,13145,00:09:15.963,555.963,13171,00:09:17.105,557.105,27,00:00:01.142,1.142
214,13172,00:09:17.105,557.105,13201,00:09:18.374,558.374,30,00:00:01.269,1.269
215,13202,00:09:18.374,558.374,13209,00:09:18.713,558.713,8,00:00:00.338,0.338
216,13210,00:09:18.713,558.713,13218,00:09:19.093,559.093,9,00:00:00.381,0.381
217,13219,00:09:19.093,559.093,13226,00:09:19.432,559.432,8,00:00:00.338,0.338
218,13227,00:09:19.432,559.432,13236,00:09:19.855,559.855,10,00:00:00.423,0.423
219,13237,00:09:19.855,559.855,13250,00:09:20.447,560.447,14,00:00:00.592,0.592
220,13251,00:09:20.447,560.447,13599,00:09:35.209,575.209,349,00:00:14.762,14.762
221,13600,00:09:35.209,575.209,13625,00:09:36.308,576.308,26,00:00:01.100,1.100
222,13626,00:09:36.308,576.308,13762,00:09:42.103,582.103,137,00:00:05.795,5.795
223,13763,00:09:42.103,582.103,13810,00:09:44.134,584.134,48,00:00:02.030,2.030
