Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
584,71030,00:50:03.552,3003.552,71047,00:50:04.313,3004.313,18,00:00:00.761,0.761
585,71048,00:50:04.313,3004.313,71091,00:50:06.173,3006.173,44,00:00:01.861,1.861
586,71092,00:50:06.173,3006.173,71099,00:50:06.512,3006.512,8,00:00:00.338,0.338
587,71100,00:50:06.512,3006.512,71444,00:50:21.100,3021.100,345,00:00:14.589,14.589
588,71445,00:50:21.100,3021.100,71450,00:50:21.354,3021.354,6,00:00:00.254,0.254
589,71451,00:50:21.354,3021.354,71475,00:50:22.411,3022.411,25,00:00:01.057,1.057
590,71476,00:50:22.411,3022.411,71505,00:50:23.680,3023.680,30,00:00:01.269,1.269
591,71506,00:50:23.680,3023.680,71587,00:50:27.147,3027.147,82,00:00:03.467,3.467
592,71588,00:50:27.147,3027.147,71653,00:50:29.938,3029.938,66,00:00:02.791,2.791
593,71654,00:50:29.938,3029.938,71663,00:50:30.361,3030.361,10,00:00:00.423,0.423
594,71664,00:50:30.361,3030.361,71705,00:50:32.137,3032.137,42,00:00:01.776,1.776
595,71706,00:50:32.137,3032.137,71799,00:50:36.112,3036.112,94,00:00:03.975,3.975
596,71800,00:50:36.112,3036.112,71849,00:50:38.226,3038.226,50,00:00:02.114,2.114
597,71850,00:50:38.226,3038.226,71901,00:50:40.425,3040.425,52,00:00:02.199,2.199
598,71902,00:50:40.425,3040.425,71937,00:50:41.948,3041.948,36,00:00:01.522,1.522
